time_s,force_n,position_mm
11144.15261746,44.37624335135527,0.0
11144.15281746,24.337354945157276,0.01
11144.153017460001,51.91984742596231,0.02
11144.15321746,49.86938994324654,0.03
11144.15341746,68.73378441944827,0.04
11144.15361746,35.01451082071483,0.05
11144.153817460001,71.91145061220007,0.06
11144.15401746,32.71278146903338,0.07
11144.15421746,44.81130763346645,0.08
11144.15441746,58.2537535337711,0.09
11144.15461746,38.25529836577368,0.1
11144.154817460001,6.161088548787504,0.11
11144.15501746,30.96852552924354,0.12
11144.15521746,58.69498009794524,0.13
11144.15541746,65.50878089899659,0.14
11144.155617460001,76.14667191216931,0.15
11144.15581746,45.59254718826078,0.16
11144.15601746,100.00123783039211,0.17
11144.15621746,48.67223735220502,0.18
11144.15641746,36.00242387959433,0.19
11144.156617460001,71.1988704698881,0.2
11144.15681746,43.432543775024826,0.21
11144.15701746,61.99656763969338,0.22
11144.15721746,68.52597001333882,0.23
11144.157417460001,31.83373711928504,0.24
11144.15761746,51.92458205498411,0.25
11144.15781746,74.04961381210983,0.26
11144.15801746,43.07005757546573,0.27
11144.15821746,48.01136759468288,0.28
11144.158417460001,47.11164739283851,0.29
11144.15861746,32.22705313399308,0.3
11144.15881746,39.655594832766205,0.31
11144.15901746,42.35367888154934,0.32
11144.159217460001,37.395756243104124,0.33
11144.15941746,47.09090337593152,0.34
11144.15961746,57.24227740858327,0.35
11144.15981746,23.78814572534672,0.36
11144.16001746,68.8141303116717,0.37
11144.160217460001,43.454966673297285,0.38
11144.16041746,48.61879803079553,0.39
11144.16061746,63.506176542862725,0.4
11144.16081746,82.07632229444864,0.41
11144.161017460001,8.490972934220139,0.42
11144.16121746,54.625063166996995,0.43
11144.16141746,51.267301178430635,0.44
11144.16161746,66.49035542680028,0.45
11144.16181746,61.47973649673766,0.46
11144.162017460001,51.95792580145811,0.47
11144.16221746,51.41914385124703,0.48
11144.16241746,59.59856226064684,0.49
11144.16261746,58.2806503650087,0.5
11144.162817460001,39.438773075737075,0.51
11144.16301746,29.387937798700847,0.52
11144.16321746,73.20078601784161,0.53
11144.16341746,48.11995796036445,0.54
11144.16361746,80.44848407404655,0.55
11144.163817460001,66.48293940623154,0.56
11144.16401746,31.57082185576513,0.57
11144.16421746,69.7910991217644,0.58
11144.16441746,52.42150296196289,0.59
11144.164617460001,45.83126283596077,0.6
11144.16481746,44.456980564083246,0.61
11144.16501746,74.87512429780062,0.62
11144.16521746,38.69835518583781,0.63
11144.16541746,42.8048227923791,0.64
11144.165617460001,54.40076461652345,0.65
11144.16581746,42.05059820043844,0.66
11144.16601746,43.73526967595619,0.67
11144.16621746,53.99329147806086,0.68
11144.166417460001,24.25589373032083,0.69
11144.16661746,46.2015196963613,0.7
11144.16681746,56.72107793553139,0.71
11144.16701746,72.06624505883059,0.72
11144.16721746,54.3024401075312,0.73
11144.167417460001,59.33323698053945,0.74
11144.16761746,42.41130166063653,0.75
11144.16781746,31.762657729647756,0.76
11144.16801746,66.19484328026482,0.77
11144.168217460001,51.84441125910196,0.78
11144.16841746,46.207401191476144,0.79
11144.16861746,40.20618516551484,0.8
11144.16881746,52.72707828097363,0.81
11144.16901746,47.42849341706931,0.82
11144.169217460001,53.22543857962372,0.83
11144.16941746,45.167143922752885,0.84
11144.16961746,47.83708195742948,0.85
11144.16981746,34.041405054845555,0.86
11144.170017460001,72.88974813106408,0.87
11144.17021746,43.32203948542866,0.88
11144.17041746,51.98135200250578,0.89
11144.17061746,44.51637622839307,0.9
11144.17081746,52.643788206824034,0.91
11144.171017460001,46.37339122227732,0.92
11144.17121746,60.53434625079241,0.93
11144.17141746,52.021373827822124,0.94
11144.17161746,43.333439718615296,0.95
11144.171817460001,70.87378181850902,0.96
11144.17201746,40.1386846855156,0.97
11144.17221746,77.13551990388274,0.98
11144.17241746,21.542157128612597,0.99
11144.17261746,56.99085636668811,1.0
11144.172817460001,42.150348456369365,1.01
11144.17301746,42.434039934176354,1.02
11144.17321746,77.76091490798956,1.03
11144.17341746,56.0129219655778,1.04
11144.173617460001,47.52265197980627,1.05
11144.17381746,29.297229981696006,1.06
11144.17401746,71.05548081799321,1.07
11144.17421746,54.01394196564998,1.08
11144.17441746,28.6842396522598,1.09
11144.174617460001,46.75931012563745,1.1
11144.17481746,35.35797176680613,1.11
11144.17501746,28.245246828067295,1.12
11144.17521746,55.67875780830995,1.13
11144.175417460001,55.32423730363692,1.14
11144.17561746,70.67800134419004,1.15
11144.17581746,58.45252765691911,1.16
11144.17601746,59.3446450835871,1.17
11144.17621746,45.264155361748934,1.18
11144.176417460001,73.72599364960396,1.19
11144.17661746,26.837316515871134,1.2
11144.17681746,40.518056786246206,1.21
11144.17701746,38.36322161310789,1.22
11144.177217460001,49.08144856070297,1.23
11144.17741746,71.83675238276163,1.24
11144.17761746,46.98241738828903,1.25
11144.17781746,43.11758792909576,1.26
11144.17801746,49.0477994426763,1.27
11144.178217460001,11.906520615919007,1.28
11144.17841746,45.616736921780976,1.29
11144.17861746,55.67944575857126,1.3
11144.17881746,49.56830538981179,1.31
11144.179017460001,43.65626261610288,1.32
11144.17921746,36.31003654774095,1.33
11144.17941746,39.54704177544164,1.34
11144.17961746,63.15064267182544,1.35
11144.17981746,44.95081784754538,1.36
11144.180017460001,16.334420035063147,1.37
11144.18021746,21.696794730489852,1.38
11144.18041746,40.3687742750144,1.39
11144.18061746,54.662997646619665,1.4
11144.180817460001,51.250353560332385,1.41
11144.18101746,23.81117088050812,1.42
11144.18121746,63.67675072835502,1.43
11144.18141746,58.19008128249401,1.44
11144.18161746,95.29083852860023,1.45
11144.181817460001,23.57565839712685,1.46
11144.18201746,41.1091634812854,1.47
11144.18221746,38.01508276818829,1.48
11144.18241746,22.763540415781783,1.49
11144.182617460001,53.25493391974155,1.5
11144.18281746,42.063286862504036,1.51
11144.18301746,35.00048337909257,1.52
11144.18321746,55.40108569616004,1.53
11144.18341746,37.9140601696037,1.54
11144.183617460001,75.87753553640462,1.55
11144.18381746,33.93700362284278,1.56
11144.18401746,22.939806082449444,1.57
11144.18421746,72.25364669321976,1.58
11144.184417460001,10.50448529608505,1.59
11144.18461746,34.93284215153752,1.6
11144.18481746,51.23998524755844,1.61
11144.18501746,46.432769638818165,1.62
11144.18521746,39.850873942721634,1.63
11144.185417460001,38.82617716668968,1.64
11144.18561746,33.813099581662755,1.65
11144.18581746,45.61236314780008,1.66
11144.18601746,96.9564026577068,1.67
11144.186217460001,45.64169923884625,1.68
11144.18641746,79.74169241791009,1.69
11144.18661746,59.54280578016558,1.7
11144.18681746,38.84638556538154,1.71
11144.18701746,90.82316406371717,1.72
11144.187217460001,55.56151022972608,1.73
11144.18741746,48.79842470423288,1.74
11144.18761746,52.735259062122935,1.75
11144.18781746,74.88430291759326,1.76
11144.188017460001,49.58546616675975,1.77
11144.18821746,37.20411364358774,1.78
11144.18841746,40.49342881843503,1.79
11144.18861746,40.61766533860138,1.8
11144.18881746,36.341738305538655,1.81
11144.189017460001,64.78018541070062,1.82
11144.18921746,67.52665736923905,1.83
11144.18941746,40.72697114232931,1.84
11144.18961746,39.99072597242785,1.85
11144.189817460001,33.32578367230744,1.86
11144.19001746,35.52116032372441,1.87
11144.19021746,23.447778094976528,1.88
11144.19041746,50.46866814411654,1.89
11144.19061746,53.08944263959089,1.9
11144.190817460001,64.18770002173439,1.91
11144.19101746,55.025157825274945,1.92
11144.19121746,64.82289380137487,1.93
11144.19141746,16.774996543498723,1.94
11144.191617460001,28.88615925773645,1.95
11144.19181746,40.76728773444846,1.96
11144.19201746,43.071837918318046,1.97
11144.19221746,36.59128637970542,1.98
11144.19241746,42.29978591226151,1.99
11144.192617460001,52.948180817334325,2.0
11144.19281746,53.01598431487358,2.01
11144.19301746,53.10724395466549,2.02
11144.19321746,75.35970366938827,2.03
11144.193417460001,52.90621108397941,2.04
11144.19361746,70.45973033185453,2.05
11144.19381746,49.612435191097845,2.06
11144.19401746,50.81355179341144,2.07
11144.19421746,27.755638581129134,2.08
11144.194417460001,25.71361784107013,2.09
11144.19461746,70.73928534600016,2.1
11144.19481746,78.29981681358078,2.11
11144.19501746,37.027532825778074,2.12
11144.195217460001,31.53130964578635,2.13
11144.19541746,67.60991491148619,2.14
11144.19561746,38.86024293789601,2.15
11144.19581746,35.804243374417126,2.16
11144.19601746,66.96794273126342,2.17
11144.196217460001,61.22218097761538,2.18
11144.19641746,45.279824751339575,2.19
11144.19661746,58.058481685374176,2.2
11144.19681746,89.31202906547125,2.21
11144.197017460001,67.1890779809483,2.22
11144.19721746,68.5354089381272,2.23
11144.19741746,47.34577491518583,2.24
11144.19761746,41.82432660967229,2.25
11144.19781746,75.24872691798387,2.26
11144.198017460001,50.88284905860575,2.27
11144.19821746,49.893803996908844,2.28
11144.19841746,51.252006188448185,2.29
11144.19861746,48.22000602242761,2.3
11144.198817460001,59.54116316390847,2.31
11144.19901746,47.22236255094671,2.32
11144.19921746,35.20681057152596,2.33
11144.19941746,66.35033000987346,2.34
11144.19961746,44.16743004509148,2.35
11144.199817460001,45.56301676791626,2.36
11144.20001746,47.15944136326175,2.37
11144.20021746,36.01451162826605,2.38
11144.20041746,50.70543272947997,2.39
11144.200617460001,25.83447223508594,2.4
11144.20081746,91.21279691751573,2.41
11144.20101746,102.67193556671472,2.42
11144.20121746,52.25144705382118,2.43
11144.20141746,81.95350143066176,2.44
11144.201617460001,69.92974483123284,2.45
11144.20181746,40.70193783675221,2.46
11144.20201746,33.81399246418225,2.47
11144.20221746,19.79072224811183,2.48
11144.202417460001,73.0959864838874,2.49
11144.20261746,61.809974522101,2.5
11144.20281746,34.86642496283171,2.51
11144.20301746,39.30748883143046,2.52
11144.20321746,63.63663714901395,2.53
11144.203417460001,40.279861375906115,2.54
11144.20361746,63.56199392577585,2.55
11144.20381746,71.2024161200791,2.56
11144.20401746,30.277625484922197,2.57
11144.204217460001,50.29775105433523,2.58
11144.20441746,76.15559611691383,2.59
11144.20461746,53.286640352392716,2.6
11144.20481746,47.60540882180692,2.61
11144.20501746,41.02268836304806,2.62
11144.205217460001,44.81181654589275,2.63
11144.20541746,22.309703619716473,2.64
11144.20561746,35.75087658669865,2.65
11144.20581746,62.73482984023094,2.66
11144.206017460001,50.598006249864845,2.67
11144.20621746,62.41668223557073,2.68
11144.20641746,48.1106887327484,2.69
11144.20661746,58.38624841047257,2.7
11144.20681746,47.78638404800129,2.71
11144.207017460001,39.68185813727115,2.72
11144.20721746,91.72155938752266,2.73
11144.20741746,35.74733689276366,2.74
11144.20761746,43.36947148557316,2.75
11144.207817460001,62.4857076157793,2.76
11144.20801746,40.87756186179827,2.77
11144.20821746,27.293113938315575,2.78
11144.20841746,77.80446381462721,2.79
11144.20861746,38.839205609808765,2.8
11144.208817460001,22.45635105221131,2.81
11144.20901746,59.88900297982939,2.82
11144.20921746,51.47589350048406,2.83
11144.20941746,61.245320192702415,2.84
11144.209617460001,81.62824405717005,2.85
11144.20981746,57.56392909781401,2.86
11144.21001746,36.029486018289404,2.87
11144.21021746,60.16188522891431,2.88
11144.21041746,67.05849892859233,2.89
11144.210617460001,23.57564258458362,2.9
11144.21081746,63.92170444773963,2.91
11144.21101746,100.65770538604801,2.92
11144.21121746,57.759794727887595,2.93
11144.211417460001,68.6790760546165,2.94
11144.21161746,43.54387385348845,2.95
11144.21181746,62.708731168876795,2.96
11144.21201746,63.573540218710484,2.97
11144.21221746,80.85664312782163,2.98
11144.212417460001,11.7345658561377,2.99
11144.21261746,57.10719676538717,3.0
11144.21281746,59.62060886235895,3.01
11144.21301746,73.80475977575884,3.02
11144.213217460001,54.79055627897521,3.03
11144.21341746,58.03173009890082,3.04
11144.21361746,35.95378401899701,3.05
11144.21381746,39.59881006455744,3.06
11144.21401746,67.5820390325228,3.07
11144.214217460001,58.07054885656486,3.08
11144.21441746,31.105572394559573,3.09
11144.21461746,69.02507570654711,3.1
11144.21481746,49.838089277128645,3.11
11144.215017460001,11.132223646654218,3.12
11144.21521746,38.04528866930112,3.13
11144.21541746,59.76691615972002,3.14
11144.21561746,54.2287372539552,3.15
11144.21581746,36.709329726595,3.16
11144.21601746,47.60979079061443,3.17
11144.21621746,45.242508979582205,3.18
11144.21641746,47.655377324180364,3.19
11144.21661746,38.87866911443892,3.2
11144.216817460001,66.73676719989608,3.21
11144.21701746,27.474767342067093,3.22
11144.21721746,48.351099939903435,3.23
11144.21741746,30.283050673060316,3.24
11144.21761746,34.39349067149561,3.25
11144.21781746,78.32577725118543,3.26
11144.21801746,38.355750165191246,3.27
11144.21821746,59.5282648945747,3.28
11144.21841746,72.11922304693806,3.29
11144.218617460001,47.82924791154987,3.3
11144.21881746,40.69099584017731,3.31
11144.21901746,46.36420669540096,3.32
11144.21921746,76.25873624338759,3.33
11144.21941746,48.554790927113444,3.34
11144.21961746,63.37470680166414,3.35
11144.21981746,39.37336201512373,3.36
11144.22001746,68.42191061729831,3.37
11144.22021746,36.22487320873461,3.38
11144.220417460001,69.00830216730404,3.39
11144.22061746,38.70015313663802,3.4
11144.22081746,75.98218850941791,3.41
11144.22101746,22.158444495128947,3.42
11144.22121746,38.508475503418275,3.43
11144.22141746,54.72158052854381,3.44
11144.22161746,42.18759742751323,3.45
11144.22181746,70.74218931501079,3.46
11144.22201746,75.35501783364441,3.47
11144.222217460001,37.445370781872285,3.48
11144.22241746,15.303921017340357,3.49
11144.22261746,38.4989161118031,3.5
11144.22281746,51.65597308390003,3.51
11144.22301746,69.86650420347053,3.52
11144.22321746,71.46283701693514,3.53
11144.22341746,39.96491241143737,3.54
11144.22361746,63.08479385290898,3.55
11144.22381746,50.3075464096148,3.56
11144.224017460001,22.921718297952246,3.57
11144.22421746,39.34163306419927,3.58
11144.22441746,37.88118154589761,3.59
11144.22461746,59.0288782124522,3.6
11144.22481746,62.82102060510063,3.61
11144.22501746,35.22553346347716,3.62
11144.22521746,47.491557515700926,3.63
11144.22541746,44.50941306547976,3.64
11144.22561746,53.521439562034324,3.65
11144.225817460001,48.191546276431694,3.66
11144.22601746,59.7459585612994,3.67
11144.22621746,47.21311647979662,3.68
11144.22641746,53.09718171993047,3.69
11144.22661746,59.40414576311588,3.7
11144.22681746,62.40369461333205,3.71
11144.22701746,31.70726769487585,3.72
11144.22721746,49.133618539107154,3.73
11144.22741746,32.77051575976944,3.74
11144.227617460001,56.64406956465605,3.75
11144.22781746,93.56694213256941,3.76
11144.22801746,33.610776231366216,3.77
11144.22821746,44.30147954211124,3.78
11144.22841746,38.243259459702685,3.79
11144.22861746,48.68684268525906,3.8
11144.22881746,29.880279811840083,3.81
11144.22901746,46.72339098279326,3.82
11144.22921746,58.60355429701188,3.83
11144.229417460001,78.13418557817859,3.84
11144.22961746,54.05875441388233,3.85
11144.22981746,47.547067624629896,3.86
11144.23001746,59.2565113640884,3.87
11144.23021746,72.34704077553651,3.88
11144.23041746,35.46197826507353,3.89
11144.23061746,51.94659814974845,3.9
11144.23081746,40.952363348988655,3.91
11144.23101746,54.252911851268045,3.92
11144.231217460001,58.05954701587014,3.93
11144.23141746,32.12344024052712,3.94
11144.23161746,17.416828217350094,3.95
11144.23181746,61.49260328503816,3.96
11144.23201746,57.55223075990844,3.97
11144.23221746,30.254692192790962,3.98
11144.23241746,65.27160938886702,3.99
11144.23261746,84.2499426378202,4.0
11144.23281746,58.03717346149187,4.01
11144.233017460001,52.735442980845924,4.02
11144.23321746,55.77076400898118,4.03
11144.23341746,30.914291170883704,4.04
11144.23361746,42.76816836807604,4.05
11144.23381746,38.08487484023174,4.06
11144.23401746,49.74636863725654,4.07
